# time x y z qx qy qz qw
1551197579.614477634 0.000296052 0.000406084 0.000000000 0.000000000 0.000000000 0.000272449 0.999999963
1551197579.740215302 -0.007719851 0.002049265 0.000000000 0.000000000 0.000000000 0.001763125 0.999998446
1551197579.861245155 -0.001441355 0.001903367 0.000000000 0.000000000 0.000000000 0.001841009 0.999998305
1551197579.952817917 -0.000292405 -0.000351372 0.000000000 0.000000000 0.000000000 -0.000923298 0.999999574
1551197580.116271973 0.004396406 0.006761177 0.000000000 0.000000000 0.000000000 0.000295754 0.999999956
1551197580.332170248 -0.005676057 -0.000457148 0.000000000 0.000000000 0.000000000 0.000924871 0.999999572
1551197580.519731998 0.004192756 -0.002058992 0.000000000 0.000000000 0.000000000 0.000917969 0.999999579
1551197580.632851124 -0.003398218 -0.000642561 0.000000000 0.000000000 0.000000000 0.001914263 0.999998168
1551197580.795816183 0.007251760 0.000941045 0.000000000 0.000000000 0.000000000 -0.001467787 0.999998923
1551197580.930567741 0.001860205 -0.004187285 0.000000000 0.000000000 0.000000000 0.001324743 0.999999123
1551197581.074999332 0.008967283 -0.002106409 0.000000000 0.000000000 0.000000000 -0.003913331 0.999992343
1551197581.239154577 0.000925239 0.002823135 0.000000000 0.000000000 0.000000000 0.002305935 0.999997341
1551197581.441246271 -0.000308210 0.001829202 0.000000000 0.000000000 0.000000000 0.000313704 0.999999951
1551197581.553384066 -0.008056633 -0.006927136 0.000000000 0.000000000 0.000000000 0.009363274 0.999956164
1551197581.704778910 0.007904656 -0.002931951 0.000000000 0.000000000 0.000000000 -0.000358038 0.999999936
1551197581.846551180 0.011815950 0.005414048 0.000000000 0.000000000 0.000000000 -0.001072120 0.999999425
1551197581.957913160 0.002983015 0.002390303 0.000000000 0.000000000 0.000000000 -0.000161825 0.999999987
1551197582.081330061 0.001910662 -0.008160586 0.000000000 0.000000000 0.000000000 -0.002432333 0.999997042
1551197582.212654352 0.005551436 0.003049277 0.000000000 0.000000000 0.000000000 -0.000714378 0.999999745
1551197582.333876848 0.006387120 0.002063268 0.000000000 0.000000000 0.000000000 -0.000992236 0.999999508
1551197582.545537233 0.009792068 0.008048148 0.000000000 0.000000000 0.000000000 -0.002388917 0.999997147
1551197582.728162527 0.008659262 -0.004904204 0.000000000 0.000000000 0.000000000 -0.005373810 0.999985561
1551197582.832224131 0.004516906 0.003143766 0.000000000 0.000000000 0.000000000 -0.000912725 0.999999583
1551197582.995484114 0.005791409 0.007623463 0.000000000 0.000000000 0.000000000 0.000462958 0.999999893
1551197583.168156147 0.007852013 0.001517703 0.000000000 0.000000000 0.000000000 -0.003856718 0.999992563
1551197583.309964657 0.007195204 0.000906475 0.000000000 0.000000000 0.000000000 -0.004042257 0.999991830
1551197583.512594461 0.004529128 0.002337051 0.000000000 0.000000000 0.000000000 -0.003796914 0.999992792
1551197583.603885651 0.009330516 -0.002692368 0.000000000 0.000000000 0.000000000 0.003037284 0.999995387
1551197583.745624781 0.008922545 -0.005438902 0.000000000 0.000000000 0.000000000 -0.002653750 0.999996479
1551197583.939230680 0.005567945 0.004317734 0.000000000 0.000000000 0.000000000 0.000717541 0.999999743
1551197584.101449728 -0.001207630 0.008437214 0.000000000 0.000000000 0.000000000 0.006051311 0.999981691
1551197584.202153921 0.000511996 0.000297273 0.000000000 0.000000000 0.000000000 0.002961558 0.999995615
1551197584.353760958 0.001876764 0.006772257 0.000000000 0.000000000 0.000000000 -0.000221633 0.999999975
1551197584.525963306 0.004667666 0.006209726 0.000000000 0.000000000 0.000000000 0.002228980 0.999997516
1551197584.667826653 -0.002160221 -0.003565426 0.000000000 0.000000000 0.000000000 -0.001839316 0.999998308
1551197584.809299231 -0.001256840 0.008237053 0.000000000 0.000000000 0.000000000 0.002630067 0.999996541
1551197584.961103439 0.009930630 -0.002442928 0.000000000 0.000000000 0.000000000 -0.001535418 0.999998821
1551197585.112899303 0.016288686 0.006924638 0.000000000 0.000000000 0.000000000 0.005583176 0.999984414
1551197585.255543709 0.033763035 0.003151771 0.000000000 0.000000000 0.000000000 0.004207980 0.999991146
1551197585.356299639 0.041722248 0.003637015 0.000000000 0.000000000 0.000000000 0.005516333 0.999984785
1551197585.479422808 0.054545956 0.008043626 0.000000000 0.000000000 0.000000000 0.005079843 0.999987098
1551197585.613557339 0.072904983 0.007887486 0.000000000 0.000000000 0.000000000 0.006144490 0.999981122
1551197585.755602360 0.079918417 0.004958528 0.000000000 0.000000000 0.000000000 0.005621879 0.999984197
1551197585.870783091 0.127094275 0.006360480 0.000000000 0.000000000 0.000000000 0.002789260 0.999996110
1551197586.004788399 0.159832209 0.011392466 0.000000000 0.000000000 0.000000000 0.009845204 0.999951535
1551197586.138269186 0.215590426 -0.025150359 0.000000000 0.000000000 0.000000000 0.004892949 0.999988029
1551197586.256229401 0.257209611 0.017951495 0.000000000 0.000000000 0.000000000 0.003820622 0.999992701
1551197586.428722382 0.307618228 0.019235359 0.000000000 0.000000000 0.000000000 0.009353259 0.999956257
1551197586.561563969 0.367644653 0.021924851 0.000000000 0.000000000 0.000000000 0.018199953 0.999834367
1551197586.704299450 0.438914321 0.008271103 0.000000000 0.000000000 0.000000000 0.007924754 0.999968599
1551197586.815688372 0.503273804 0.018135439 0.000000000 0.000000000 0.000000000 0.003687125 0.999993203
1551197586.998296738 0.622367739 -0.006408748 0.000000000 0.000000000 0.000000000 -0.007964172 0.999968285
1551197587.142174959 0.706935709 0.001372453 0.000000000 0.000000000 0.000000000 0.001770390 0.999998433
1551197587.253853798 0.804834433 0.016331010 0.000000000 0.000000000 0.000000000 -0.022649711 0.999743462
1551197587.366407633 0.817766029 0.001802754 0.000000000 0.000000000 0.000000000 0.002208329 0.999997562
1551197587.538557291 0.954081105 0.053763311 0.000000000 0.000000000 0.000000000 -0.005263259 0.999986149
1551197587.649890661 1.009122429 0.047082093 0.000000000 0.000000000 0.000000000 0.008051436 0.999967587
1551197587.771486521 1.022766235 0.013747587 0.000000000 0.000000000 0.000000000 0.025147849 0.999683743
1551197587.944441557 1.173160360 0.003843392 0.000000000 0.000000000 0.000000000 0.003612657 0.999993474
1551197588.106494188 1.262669189 -0.009216084 0.000000000 0.000000000 0.000000000 -0.018532293 0.999828262
1551197588.258598804 1.376343614 0.022091747 0.000000000 0.000000000 0.000000000 0.019391701 0.999811963
1551197588.442049026 1.470053981 0.028178710 0.000000000 0.000000000 0.000000000 0.027025255 0.999634751
1551197588.625130177 1.617084665 0.026021126 0.000000000 0.000000000 0.000000000 0.016966324 0.999856062
1551197588.757562399 1.713975151 0.040098906 0.000000000 0.000000000 0.000000000 0.021223186 0.999774763
1551197588.878533602 1.768531278 0.046350440 0.000000000 0.000000000 0.000000000 0.025638764 0.999671273
1551197589.021567583 1.888226080 0.064936586 0.000000000 0.000000000 0.000000000 0.020674667 0.999786256
1551197589.185012102 1.987624887 0.038863920 0.000000000 0.000000000 0.000000000 0.017109436 0.999853623
1551197589.370251894 2.078369420 0.058559960 0.000000000 0.000000000 0.000000000 0.019577050 0.999808351
1551197589.505833387 2.184164625 0.059596038 0.000000000 0.000000000 0.000000000 -0.000829519 0.999999656
1551197589.637599945 2.258483547 0.050394999 0.000000000 0.000000000 0.000000000 0.011137509 0.999937976
1551197589.769216776 2.364128577 0.055315555 0.000000000 0.000000000 0.000000000 0.002656662 0.999996471
1551197589.870427370 2.364518466 0.075221203 0.000000000 0.000000000 0.000000000 0.010714847 0.999942594
1551197590.032903194 2.486674836 0.031225075 0.000000000 0.000000000 0.000000000 0.005272418 0.999986101
1551197590.184418440 2.576276355 0.066087020 0.000000000 0.000000000 0.000000000 -0.000338402 0.999999943
1551197590.285212517 2.607222123 0.060128550 0.000000000 0.000000000 0.000000000 0.010614049 0.999943669
1551197590.436693192 2.768532415 0.044124064 0.000000000 0.000000000 0.000000000 -0.001044186 0.999999455
1551197590.568460703 2.818461363 0.044158254 0.000000000 0.000000000 0.000000000 0.000947646 0.999999551
1551197590.699778795 2.891761806 0.035197368 0.000000000 0.000000000 0.000000000 0.001853273 0.999998283
1551197590.852096558 2.981312582 0.048325232 0.000000000 0.000000000 0.000000000 -0.001737966 0.999998490
1551197591.024982929 3.043537913 0.049689516 0.000000000 0.000000000 0.000000000 0.002388595 0.999997147
1551197591.156977654 3.151982997 0.059117609 0.000000000 0.000000000 0.000000000 0.006959299 0.999975784
1551197591.261745453 3.176495595 0.046435822 0.000000000 0.000000000 0.000000000 0.001859519 0.999998271
1551197591.372840166 3.252986435 0.038764338 0.000000000 0.000000000 0.000000000 0.003824466 0.999992687
1551197591.578917980 3.392019648 0.067177641 0.000000000 0.000000000 0.000000000 0.003539101 0.999993737
1551197591.737612009 3.478546393 0.053868131 0.000000000 0.000000000 0.000000000 0.001921187 0.999998155
1551197591.854863644 3.573565889 0.061251667 0.000000000 0.000000000 0.000000000 0.006533001 0.999978660
1551197591.965931654 3.640920376 0.044131524 0.000000000 0.000000000 0.000000000 0.000746083 0.999999722
1551197592.108026743 3.719595570 0.102253647 0.000000000 0.000000000 0.000000000 -0.002566114 0.999996708
1551197592.208859444 3.704056195 0.138825502 0.000000000 0.000000000 0.000000000 0.038502935 0.999258487
1551197592.361687183 3.801433323 0.119118782 0.000000000 0.000000000 0.000000000 0.033051374 0.999453654
1551197592.503132343 4.062248861 0.263516563 0.000000000 0.000000000 0.000000000 0.034214197 0.999414523
1551197592.644477844 4.001065675 0.205240330 0.000000000 0.000000000 0.000000000 0.020345327 0.999793012
1551197592.806401491 4.079897148 0.211729745 0.000000000 0.000000000 0.000000000 0.030376973 0.999538513
1551197592.919512987 4.122416789 0.197394023 0.000000000 0.000000000 0.000000000 0.038758716 0.999248599
1551197593.071340084 4.218624075 0.203090188 0.000000000 0.000000000 0.000000000 0.036327382 0.999339943
1551197593.213102102 4.355001583 0.177036240 0.000000000 0.000000000 0.000000000 0.040409850 0.999183188
1551197593.334424019 4.399142264 0.180224712 0.000000000 0.000000000 0.000000000 0.038358779 0.999264031
1551197593.475904942 4.458070653 0.239835893 0.000000000 0.000000000 0.000000000 0.043675364 0.999045776
1551197593.678632021 4.555720453 0.260976944 0.000000000 0.000000000 0.000000000 0.043847055 0.999038255
1551197593.800698519 4.625310546 0.247814027 0.000000000 0.000000000 0.000000000 0.043745383 0.999042713
1551197593.983048439 4.757017658 0.267068241 0.000000000 0.000000000 0.000000000 0.045840648 0.998948765
1551197594.114366770 4.844996821 0.263642168 0.000000000 0.000000000 0.000000000 0.050555443 0.998721256
1551197594.205720186 4.914645758 0.192419525 0.000000000 0.000000000 0.000000000 0.036702209 0.999326247
1551197594.337007284 4.998186328 0.219602638 0.000000000 0.000000000 0.000000000 0.028839515 0.999584055
1551197594.427884817 5.120734444 0.224916513 0.000000000 0.000000000 0.000000000 0.028957681 0.999580638
1551197594.619830608 5.234921163 0.190826976 0.000000000 0.000000000 0.000000000 0.032440189 0.999473679
1551197594.843269825 5.307808977 0.220707524 0.000000000 0.000000000 0.000000000 0.035171407 0.999381295
1551197594.995857000 5.420770536 0.238701654 0.000000000 0.000000000 0.000000000 0.032527778 0.999470832
